id;name;completion_date;creation_date;important_to;user_id;glossary_of_purposes_id;is_checked;organisation_structure_id
1;Z powodu niedoskonałości Systemu Rejestrów Państwowych istnieje możliwość uzyskania niepełnych/nieaktualnych danych, co powoduje zwiększenie nakładu pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
2;Z powodu niestawienia się rodziców w przewidzianym ustawowym terminie 21 dni powoduje sporządzenie aktu z Urzędu, co skutkuje możliwym sprzeciwem rodziców i zwiększeniem nakładu pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
3;Odmiejscowienie zadań powoduje zwiększenie liczby zdarzeń, co skutkuje utrudnieniem w określeniu przewidywanego nakładu pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
4;Z powodu błędu pracownika konieczność sprostowania aktu;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
5;Z powodu błędnych danych lub braków danych w bazie wystawienie dokumentu obciążonego błędami;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
6;Konieczność rejestracji urodzenia następujacych na polskich statkach wodnych i powietrznych i na misjach wojskowych powoduje zwiększenie nakładów pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
7;Stawienie się rodziców w Urzędzie w terminie innym niż umówiony powoduje wzrost czasu obsługi i nakładów pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
8;Z powodu braku przeniesienia danych pomiędzy bazą lokalną a BUSC-em konieczność ręcznego wprowadzenia aktu stanu cywilnego do SRP, co może powodować błędy i zwiększenie nakładu pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
9;Praca w warunkach zwiększonego stresu oraz wzrost ilościowy i jakościowy przydzielanych obowiązków, wynikających ze zmian ustawowych, powoduje obciążenie psychiczne pracowników, co przekłada się na poziom motywacji i skutkuje obniżeniem jakości usług;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
10;Konieczność telefonicznej i osobistej obsługi interesantów w trakcie rozpatrywania spraw merytorycznych może negatywnie wpłynąć na prawidłowość i terminowość rozpatrywanych spraw oraz efektywność pracy;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
11;Awaria systemu informatycznego spowoduje brak możliwości wystawienia dokumentu w określonym terminie;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
12;Z powodu złego stanu technicznego sprzętu informatycznego może wystąpić awaria skutkująca utratą danych i/lub opóźnieniem wykonania czynności;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
13;Absencja pracownika spowoduje wzrost obciążenia pracą pozostałych pracowników, co może skutkować wzrostem liczby pomyłek;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
14;Długotrwała nieobecność pracownika może skutkować błędami i/lub przedłużeniem procedury przygotowania dokumentu;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
15;Wzrost liczby spraw powyżej 20 przypadających na jednego pracownika spowoduje istotne zwiększenie liczby popełnianych błędów i/lub przekroczenie terminów;2017-12-04;2018-12-04;2017-12-04;14;18;true;null
