id;name;parent_id;supervisory_unit_id;status_id;specifying_cells;glossary_of_processes_id
18;Warszawa;8;0;1;MIASTO;null
19;Miasto Stołeczne Warszawa;18;0;1;MIASTO;null
20;Jednostki Organizacyjne Miasta Stołecznego Warszawy;19;0;1;JEDNOSTKAORGANIZACYJNA;null
21;Urząd Miasta Warszawy;20;0;1;URZEDYDZIELNIC;null
22;Biura Urzędu;21;0;1;BIURA;null
23;Biuro Administracji i Spraw Obywatelskich;22;0;1;BIURO;null
24;Biuro Organizacji Urzędu;22;0;1;BIURO;null
25;Biuro Architektury i Planowania Przestrzennego;22;0;1;BIURO;null
26;Biuro Audytu Wewnętrznego;22;0;1;BIURO;null
27;Biuro Bezpieczeństwa i Zarządzania Kryzysowego;22;0;1;BIURO;null
30;Biuro Edukacji;22;0;1;BIURO;null
32;Biuro Geodezji i Katastru;22;0;1;BIURO;null
33;Biuro Mienia Miasta i Skarbu Państwa;22;0;1;BIURO;6
34;Biuro Gospodarki Odpadami Komunalnymi;22;0;1;BIURO;null
36;Biuro Infrastruktury;22;0;1;BIURO;null
37;Biuro Kadr i Szkoleń;22;0;1;BIURO;null
38;Biuro Kontroli;22;0;1;BIURO;null
39;Biuro Koordynacji Inwestycji i Remontów w Pasie Drogowym;22;0;1;BIURO;null
40;Biuro Księgowości i Kontrasygnaty;22;0;1;BIURO;null
41;Biuro Kultury;22;0;1;BIURO;null
42;Biuro Nadzoru Właścicielskiego;22;0;1;BIURO;null
44;Biuro Ochrony Środowiska;22;0;1;BIURO;1
46;Biuro Planowania Budżetowego;22;0;1;BIURO;null
47;Biuro Podatków i Egzekucji;22;0;1;BIURO;null
51;Biuro Polityki Zdrowotnej;22;0;1;BIURO;null
52;Biuro Pomocy i Projektów Społecznych;22;0;1;BIURO;9
53;Centrum Komunikacji Społecznej;22;0;1;BIURO;null
54;Biuro Prawne;22;0;1;BIURO;null
55;Gabinet Prezydenta;22;0;1;BIURO;null
58;Biuro Rady m. st Warszawy;22;0;1;BIURO;null
60;Biuro Sportu i Rekreacji;22;0;1;BIURO;null
61;Biuro Stołecznego Konserwatora Zabytków;22;0;1;BIURO;null
62;Biuro Zamówień Publicznych;22;0;1;BIURO;null
63;Urząd Stanu Cywilnego;22;0;1;BIURO;null
64;Biuro Marketingu Miasta;22;0;1;BIURO;null
65;Biuro Rozwoju Gospodarczego;22;0;1;BIURO;null
66;Biuro Spraw Dekretowych;22;0;1;BIURO;null
387;Urzędy Dzielnic;21;0;1;URZEDYDZIELNIC;null
392;Urząd Dzielnicy Bemowo;387;0;1;URZADDZIELNICY;null
394;Urząd Dzielnicy Białołęka;387;0;1;URZADDZIELNICY;null
395;Urząd Dzielnicy Bielany;387;0;1;URZADDZIELNICY;null
396;Urząd Dzielnicy Mokotów;387;0;1;URZADDZIELNICY;null
397;Urząd Dzielnicy Ochota;387;0;1;URZADDZIELNICY;null
398;Urząd Dzielnicy Praga Południe;387;0;1;URZADDZIELNICY;null
399;Urząd Dzielnicy Praga Północ;387;0;1;URZADDZIELNICY;null
400;Urząd Dzielnicy Rembertów;387;0;1;URZADDZIELNICY;null
401;Urząd Dzielnicy Śródmieście;387;0;1;URZADDZIELNICY;null
28;Biuro Polityki Mobilności i Transportu;22;0;1;BIURO;null
48;Biuro Długu i Restrukturyzacji Wierzytelności;22;0;1;BIURO;null
402;Urząd Dzielnicy Targówek;387;0;1;URZADDZIELNICY;null
403;Urząd Dzielnicy Ursus;387;0;1;URZADDZIELNICY;null
404;Urząd Dzielnicy Ursynów;387;0;1;URZADDZIELNICY;null
405;Urząd Dzielnicy Wawer;387;0;1;URZADDZIELNICY;null
406;Urząd Dzielnicy Wesoła;387;0;1;URZADDZIELNICY;null
407;Urząd Dzielnicy Wilanów;387;0;1;URZADDZIELNICY;null
408;Urząd Dzielnicy Włochy;387;0;1;URZADDZIELNICY;1
409;Urząd Dzielnicy Wola;387;0;1;URZADDZIELNICY;null
410;Urząd Dzielnicy Żoliborz;387;0;1;URZADDZIELNICY;null
412;Jednostki Organizacyjne;20;0;1;JEDNOSTKAORGANIZACYJNA;null
1000;Wydział Nadzoru, Kontroli i Rejestracji Pojazdów oraz Wydawania Uprawnień;23;0;1;WYDZIAL;1
1001;Wydział Spraw Komunalnych i Organizacji Uroczystości;23;0;1;WYDZIAL;null
1002;Wydział Spraw Obywatelskich;23;0;1;WYDZIAL;1
1003;Wieloosobowe Stanowisko ds. Organizacji Uroczystości;1001;0;1;WYDZIAL;6
1004;Wieloosobowe Stanowisko Pracy ds. Cmentarnictwa;1001;0;1;WYDZIAL;16
1007;Wydział Archiwum;24;0;1;WYDZIAL;5
1010;Wydział Kancelaryjny;24;0;1;WYDZIAL;5
1018;Samodzielne Wieloosobowe Stanowisko Pracy ds. Obsługi Prawnej;24;0;1;WYDZIAL;5
1022;Wydział Polityki Przestrzennej;25;0;1;WYDZIAL;2
1026;Wydział Ryzyka;55;0;1;WYDZIAL;6
1027;Wydzial Wsparcia Merytorycznego;26;0;1;WYDZIAL;6
1028;Wydział Audytu Dzialalności;26;0;1;WYDZIAL;6
1029;Wydział Audytu Jednostek;26;0;1;WYDZIAL;6
1030;Wydział Audytu Środków Pomocowych;26;0;1;WYDZIAL;6
1031;Wydział Audytu Bezpieczeństwa Systemów Teleinformatycznych;26;0;1;WYDZIAL;6
1034;Wydział Organizacyjny;27;0;1;WYDZIAL;3
1035;Wydział Bezpieczeństwa Publicznego;27;0;1;WYDZIAL;3
1036;Wydział Centrum Zarządzania Kryzysowego;27;0;1;WYDZIAL;3
1037;Wydział Spraw Obronnych;27;0;1;WYDZIAL;3
1038;Wydział Imprez Masowych i Zgromadzeń Publicznych;27;0;1;WYDZIAL;3
1039;Wydział Zintegrowanego Stanowiska Koordynacji i Reagowania;27;0;1;WYDZIAL;3
1041;Wydział Czasowej Organizacji Ruchu;28;0;1;WYDZIAL;15
1045;Wydział Kontroli i Zezwoleń;28;0;1;WYDZIAL;15
1046;Wydział Stałej Organizacji Ruchu;28;0;1;WYDZIAL;15
1047;Wydział Sygnalizacji Świetlnej;28;0;1;WYDZIAL;15
1048;Wydział Edukacji Pozaszkolnej i Pozaformalnej;30;0;1;WYDZIAL;4
1049;Wydział Finansów i Infrastruktury Oświaty;30;0;1;WYDZIAL;4
1050;Wydział Kadr Oświatowych i Spraw Organizacyjnych;30;0;1;WYDZIAL;4
1051;Wydział Kształcenia Specjalnego i Pomocy Psychologiczno-Pedagogicznej;30;0;1;WYDZIAL;4
1052;Wydział Szkół Ponadgimnazjalnych i Kształcenia Ustawicznego;30;0;1;WYDZIAL;4
1053;Wydział Doskonalenia Nauczycieli, Projektów  Edukacyjnych i Międzynarodowych;30;0;1;WYDZIAL;4
1054;Wydział Przedszkoli, Szkół Publicznych i Oświaty Niepublicznej;30;0;1;WYDZIAL;4
1055;Zespół Informacji Oświatowej;30;0;1;WYDZIAL;4
1056;Wydział Aktualizacji Ewidencji Gruntów i Budynków;32;0;1;WYDZIAL;8
1057;Wydział Ewidencji Nazw i Adresów;32;0;1;WYDZIAL;8
1058;Wydział Katastru;32;0;1;WYDZIAL;8
1025;Wydział Organizacji i Finansów;25;0;1;WYDZIAL;2
1040;Wydział Strategii Transportowej i Mobilności;28;0;1;WYDZIAL;15
1042;Wydział Infrastruktury Drogowej;28;0;1;WYDZIAL;15
1044;Wydział Transportu Publicznego;28;0;1;WYDZIAL;15
1011;Wydział Transportowy;67;0;1;WYDZIAL;5
1059;Wydział Kontroli Dokumentacji Geodezyjnej i Kartograficznej;32;0;1;WYDZIAL;8
1060;Wydział Numerycznej Mapy Zasadniczej;32;0;1;WYDZIAL;8
1062;Wydział Organizacyjny;32;0;1;WYDZIAL;8
1063;Wydział Postępowań Administracyjnych;32;0;1;WYDZIAL;8
1066;Wydział Udostępniania Danych Ewidencji Gruntów i Budynków;32;0;1;WYDZIAL;8
1068;Ośrodek Dokumentacji Geodezyjnej i Kartograficznej;32;0;1;WYDZIAL;8
1070;Samodzielne Wieloosobowe Stanowisko Pracy Radców Prawnych;32;0;1;WYDZIAL;8
1072;Wydział Ewidencji Gruntów i Budynków dla Dzielnicy Mokotów;32;0;1;WYDZIAL;8
1073;Delegatura Biura Geodezji i Katastru w Dzielnicy Praga-Południe;32;0;1;WYDZIAL;8
1079;Samodzielne Wieloosobowe Stanowisko Pracy Radców Prawnych;33;0;1;WYDZIAL;10
1098;Wydział Zarządzania Systemem Gospodarki Odpadami Komunalnymi ;34;0;1;WYDZIAL;16
1099;Wydział Obsługi Umów z Podmiotami ;34;0;1;WYDZIAL;16
1100;Samodzielne Wieloosobowe Stanowisko Pracy ds. Informacji, Promocji i Edukacji;34;0;1;WYDZIAL;16
1101;Samodzielne Wieloosobowe Stanowisko Pracy ds. Finansowych;34;0;1;WYDZIAL;16
1102;Samodzielne Wieloosobowe Stanowisko Pracy ds. Obsługi Biura i Obsługi Kancelaryjnej;34;0;1;WYDZIAL;16
1103;Samodzielne Wieloosobowe Stanowisko Pracy Radców Prawnych ;34;0;1;WYDZIAL;16
1112;Wydział Ekonomiczny;36;0;1;WYDZIAL;16
1114;Wydział Organizacji i Projektów;36;0;1;WYDZIAL;16
1118;Samodzielne Wieloosobowe Stanowisko Pracy Radców Prawnych;36;0;1;WYDZIAL;16
1120;Wydział Kadr;37;0;1;WYDZIAL;5
1121;Wydział Rachuby Płac;37;0;1;WYDZIAL;5
1122;Wydział Ochrony Pracy;37;0;1;WYDZIAL;5
1123;Zespół Spraw Socjalnych;37;0;1;WYDZIAL;5
1064;Wydział Systemów Informatycznych do Obsługi Zasobu Geodezyjnego i Kartograficznego;32;0;1;WYDZIAL;8
1067;Wydział Utrzymania i Rozwoju Centrum Przetwarzania Danych Przestrzennych;32;0;1;WYDZIAL;8
1065;Wydział Przetwarzania Danych Przestrzennych;32;0;1;WYDZIAL;8
1115;Wydział Strategii;36;0;1;WYDZIAL;16
1116;Wydział Inżynierii Miejskiej;36;0;1;WYDZIAL;16
1074;Wydział Inwestycji;33;0;1;WYDZIAL;10
1077;Wydział Mienia m.st. Warszawy;33;0;1;WYDZIAL;10
1124;Samodzielne Jednoosobowe Stanowisko Pracy Radcy Prawnego;37;0;1;WYDZIAL;5
1125;Samodzielne Wieloosobowe Stanowisko Pracy ds. Obsługi Sekretariatu;37;0;1;WYDZIAL;5
1126;Wydział Kontroli Finansowej;38;0;1;WYDZIAL;6
1127;Wydział Kontroli Gospodarowania Nieruchomościami;38;0;1;WYDZIAL;6
1129;Wydział Kontroli Technicznej;38;0;1;WYDZIAL;6
1130;Wydział Kontroli Zamówień Publicznych;38;0;1;WYDZIAL;6
1132;Samodzielne Wieloosobowe Stanowisko Pracy Radców Prawnych;38;0;1;WYDZIAL;6
1134;Wydział Koordynacji;39;0;1;WYDZIAL;16
1135;Wydział Monitorowania Przygotowania Inwestycji;39;0;1;WYDZIAL;16
1136;Wydział Organizacyjny;39;0;1;WYDZIAL;16
1137;Wydział Planowania;39;0;1;WYDZIAL;16
1138;Wydział Dochodów;40;0;1;WYDZIAL;7
1139;Wydział Ewidencji i Windykacji Mandatów;40;0;1;WYDZIAL;7
1140;Wydział Ewidencji Księgowej Wynagrodzeń i Kasa;40;0;1;WYDZIAL;7
1142;Wydział Księgowości i Sprawozdawczości Budżetu;40;0;1;WYDZIAL;7
1143;Wydział Księgowości Wydatków Urzędu;40;0;1;WYDZIAL;7
1144;Wydział Obsługi Bankowej Miasta;40;0;1;WYDZIAL;7
1146;Wydział Zaangażowania i Kontrasygnaty;40;0;1;WYDZIAL;7
1155;Wydział Współpracy z Organizacjami Pozarządowymi;41;0;1;WYDZIAL;11
1157;Wydział Organizacji i Wsparcia;42;0;1;WYDZIAL;7
1158;Wydział Spółek i Przedsiębiorstw I;42;0;1;WYDZIAL;7
1159;Zespół Spółek i Przedsiębiorstw II;42;0;1;WYDZIAL;7
1160;Wydział Spółek i Przedsiębiorstw III;42;0;1;WYDZIAL;7
1161;Wydział Spółek i Przedsiębiorstw IV;42;0;1;WYDZIAL;7
1162;Wydział Ochrony Danych Osobowych;24;0;1;WYDZIAL;5
1164;Wydział Ochrony Informacji Niejawnych;27;0;1;WYDZIAL;5
1166;Wydział Gospodarki Odpadami;44;0;1;WYDZIAL;9
1167;Wydział Gospodarowania Wodami i Geologii;44;0;1;WYDZIAL;9
1168;Wydział Ochrony Systemu Przyrodniczego Miasta;44;0;1;WYDZIAL;9
1169;Wydział Ogólny;44;0;1;WYDZIAL;9
1170;Wydział Opiniowania Wniosków Ekologicznych;44;0;1;WYDZIAL;9
1171;Wydział Spraw Zwierząt;44;0;1;WYDZIAL;9
1172;Wydział Uzgodnień Inwestycyjnych i Ochrony Powietrza;44;0;1;WYDZIAL;9
1173;Samodzielne Wieloosobowe Stanowisko Pracy ds. Finansowych;44;0;1;WYDZIAL;9
1174;Samodzielne Wieloosobowe Stanowisko Pracy Radców Prawnych;44;0;1;WYDZIAL;9
1175;Wydział Analiz Ekonomicznych i Prognozowania Dochodów;46;0;1;WYDZIAL;7
1176;Wydział Kontrolingu i Zarządzania Budżetem;46;0;1;WYDZIAL;7
1177;Wydział Procedur Budżetowych Dzielnicowych Sfer Pozaoświatowych;46;0;1;WYDZIAL;7
1178;Wydział Procedur Budżetowych Ogólnomiejskich i Unijnych;46;0;1;WYDZIAL;7
1179;Wydział Procedur Budżetowych Sfery Oświatowej;46;0;1;WYDZIAL;7
1181;Wydział Kontroli Podatkowej;47;0;1;WYDZIAL;7
1182;Wydział Podatków i Opłat;47;0;1;WYDZIAL;7
1184;Wydział Eksploatacji;48;0;1;WYDZIAL;7
