id;number;value;name
1;1;1;"KRYTERIUM CZĘSTOTLIWOŚCI: Tego typu ryzyko do tej pory jeszcze nigdy nie wystąpiło"
2;1;2;"KRYTERIUM LICZBY UCZESTNIKÓW: Przy realizacji danego celu nie współpracuje się z innymi komórkami/jednostkami"
3;1;3;"KRYTERIUM STABILNOŚCI: W ostatnich 3 latach obszar/proces nie podlegał zmianom technologicznym, organizacyjnym i kadrowym"
4;1;4;"KRYTERIUM WPŁYWU NA ZASADY REALIZACJI: Oceniany obszar/proces uregulowany jest wyłącznie regulacjami wewnętrznymi"
5;2;1;"KRYTERIUM CZĘSTOTLIWOŚCI: Tego typu ryzyko wystąpiło 1 raz w okresie ostatnich 3 lat. Ryzyko prawdopodobnie nie wystąpi/może wystąpić w zupełnie wyjątkowych sytuacjach"
6;2;2;"KRYTERIUM LICZBY UCZESTNIKÓW: Przy realizacji danego celu współpracuje się z małą (1 lub 2) liczbą komórek/jednostek"
7;2;3;"KRYTERIUM STABILNOŚCI: W okresie ostatnich 3 lat obszar/proces podlegał zmianom technologicznym, organizacyjnym i kadrowym w minimalnym stopniu i uznaje się je za wdrożone"
8;2;4;"KRYTERIUM WPŁYWU NA ZASADY REALIZACJI: Obszar/proces w małym zakresie objęty regulacjami o charakterze zewnętrznym. Nie podlegały one zmianom."
9;3;1;"KRYTERIUM CZĘSTOTLIWOŚCI: Tego typu ryzyko wystąpiło2 razy w okresie ostatnich 3 lat celu współpracuje się z dużą (co najmniej 3) liczbą komórek/jednostek"
10;3;2;"KRYTERIUM LICZBY UCZESTNIKÓW: Przy realizacji danego celu współpracuje się z dużą (co najmniej 3) liczbą komórek/jednostek"
11;3;3;"KRYTERIUM STABILNOŚCI: Obszar/proces podlegał zmianom organizacyjnym, technologicznym i kadrowym, które zakończyły się ponad rok temu"
12;3;4;"KRYTERIUM WPŁYWU NA ZASADY REALIZACJI: Obszar/proces objęty w małym stopniu regulacjami zewnętrznymi, które mogły podlegać w ostatnim okresie pewnym zmianom"
13;4;1;"KRYTERIUM CZĘSTOTLIWOŚCI: Tego typu ryzyko wystąpiło 3 razy w okresie ostatnich 3 lat. Istnieje wysokie prawdopodobieństwo na wystąpienie tego ryzyka"
14;4;2;"KRYTERIUM LICZBY UCZESTNIKÓW: Obszar/proces wymaga współpracy z dużą (więcej niż 3) liczbą komórek i jednostek lub/i podmiotami zewnętrznymi"
15;4;3;"KRYTERIUM STABILNOŚCI: W ciągu ostatniego roku obszar/proces podlegał zmianom technologicznym, organizacyjnym i kadrowym, z których część może wymagać poprawek i działań dostosowawczych"
16;4;4;"KRYTERIUM WPŁYWU NA ZASADY REALIZACJI: Obszar/proces objęty dużą liczbą regulacji prawnych (zewnętrznych i wewnętrznych), które w ostatnim roku podlegały istotnym zmianom"
17;5;1;"KRYTERIUM CZĘSTOTLIWOŚCI: Tego typu ryzyko wystąpiło więcej niż 3 razy w okresie ostatnich 3 lat. Istnieje bardzo wysokie prawdopodobieństwo na wystąpienie tego ryzyka"
18;5;2;"KRYTERIUM LICZBY UCZESTNIKÓW: Obszar/proces wymaga współpracy z bardzo dużą (więcej niż 10) liczbą komórek i jednostek lub/i podmiotami zewnętrznymi"
19;5;3;"KRYTERIUM STABILNOŚCI: W ostatnim roku obszar/proces podlegał istotnym zmianom technologicznym, organizacyjnym i kadrowym albo obszar podlega częstym zmianom tego typu bądź też obszar jest w trakcie zmian"
20;5;4;"KRYTERIUM WPŁYWU NA ZASADY REALIZACJI: Obszar/proces objęty dużą liczbą regulacji prawnych (zewnętrznych i wewnętrznych), które w ostatnim roku podlegały istotnym zmianom lub/i, które zmienią się z pewnością w ciągu najbliższego roku"
